library_ID,fastq_fwd_file_name,fastq_rev_file_name,host_genus,host_species,coral_tag,site_name,sequencing_run,expedition,sample_name,sra_accession
KI14FSYM261_S102_L001,KI14FSYM261_S102_L001_R1_001.fastq.gz,KI14FSYM261_S102_L001_R2_001.fastq.gz,Pocillopora,grandis,261,27,run5,2014,KI14_261,SAMN49903933
KI14FSYM262_S107_L001,KI14FSYM262_S107_L001_R1_001.fastq.gz,KI14FSYM262_S107_L001_R2_001.fastq.gz,Montipora,aequituberculata,262,27,run5,2014,KI14_262,SAMN49903934
165_S165_L001,165_S165_L001_R1_001.fastq.gz,165_S165_L001_R2_001.fastq.gz,Montipora,aequituberculata,265,27,run2,2014,KI14_265,SAMN49903654
KI14FSYM269_S143_L001,KI14FSYM269_S143_L001_R1_001.fastq.gz,KI14FSYM269_S143_L001_R2_001.fastq.gz,Montipora,aequituberculata,269,27,run5,2014,KI14_269,SAMN49903935
KI14FSYM275_S173_L001,KI14FSYM275_S173_L001_R1_001.fastq.gz,KI14FSYM275_S173_L001_R2_001.fastq.gz,Pocillopora,grandis,275,14,run5,2014,KI14_275,SAMN49903880
KI14FSYM279_S108_L001,KI14FSYM279_S108_L001_R1_001.fastq.gz,KI14FSYM279_S108_L001_R2_001.fastq.gz,Montipora,aequituberculata,279,14,run5,2014,KI14_279,SAMN49903881
KI14FSYM028_S84_L001,KI14FSYM028_S84_L001_R1_001.fastq.gz,KI14FSYM028_S84_L001_R2_001.fastq.gz,Montipora,aequituberculata,28,38,run5,2014,KI14_28,SAMN49903996
KI14FSYM282_S129_L001,KI14FSYM282_S129_L001_R1_001.fastq.gz,KI14FSYM282_S129_L001_R2_001.fastq.gz,Pocillopora,grandis,282,14,run5,2014,KI14_282,SAMN49903882
KI14FSYM283_S136_L001,KI14FSYM283_S136_L001_R1_001.fastq.gz,KI14FSYM283_S136_L001_R2_001.fastq.gz,Montipora,aequituberculata,283,14,run5,2014,KI14_283,SAMN49903883
KI14FSYM287_S159_L001,KI14FSYM287_S159_L001_R1_001.fastq.gz,KI14FSYM287_S159_L001_R2_001.fastq.gz,Pocillopora,grandis,287,14,run5,2014,KI14_287,SAMN49903884
KI14FSYM288_S166_L001,KI14FSYM288_S166_L001_R1_001.fastq.gz,KI14FSYM288_S166_L001_R2_001.fastq.gz,Montipora,aequituberculata,288,14,run5,2014,KI14_288,SAMN49903885
KI14FSYM291_S174_L001,KI14FSYM291_S174_L001_R1_001.fastq.gz,KI14FSYM291_S174_L001_R2_001.fastq.gz,Pocillopora,grandis,291,14,run5,2014,KI14_291,SAMN49903886
KI14FSYM293_S103_L001,KI14FSYM293_S103_L001_R1_001.fastq.gz,KI14FSYM293_S103_L001_R2_001.fastq.gz,Montipora,aequituberculata,293,14,run5,2014,KI14_293,SAMN49903887
KI14FSYM296_S116_L001,KI14FSYM296_S116_L001_R1_001.fastq.gz,KI14FSYM296_S116_L001_R2_001.fastq.gz,Pocillopora,grandis,296,14,run5,2014,KI14_296,SAMN49903888
120_S120_L001,120_S120_L001_R1_001.fastq.gz,120_S120_L001_R2_001.fastq.gz,Pocillopora,grandis,3,35,run2,2014,KI14_3,SAMN49903669
KI14FSYM030_S2_L001,KI14FSYM030_S2_L001_R1_001.fastq.gz,KI14FSYM030_S2_L001_R2_001.fastq.gz,Pocillopora,grandis,30,38,run5,2014,KI14_30,SAMN49903997
KI14FSYM301_S137_L001,KI14FSYM301_S137_L001_R1_001.fastq.gz,KI14FSYM301_S137_L001_R2_001.fastq.gz,Pocillopora,grandis,301,14,run5,2014,KI14_301,SAMN49903889
KI14FSYM303_S145_L001,KI14FSYM303_S145_L001_R1_001.fastq.gz,KI14FSYM303_S145_L001_R2_001.fastq.gz,Pocillopora,grandis,303,14,run5,2014,KI14_303,SAMN49903890
KI14FSYM305_S160_L001,KI14FSYM305_S160_L001_R1_001.fastq.gz,KI14FSYM305_S160_L001_R2_001.fastq.gz,Pocillopora,grandis,305,14,run5,2014,KI14_305,SAMN49903891
KI14FSYM309_S176_L001,KI14FSYM309_S176_L001_R1_001.fastq.gz,KI14FSYM309_S176_L001_R2_001.fastq.gz,Pocillopora,grandis,309,14,run5,2014,KI14_309,SAMN49903892
KI14FSYM031_S10_L001,KI14FSYM031_S10_L001_R1_001.fastq.gz,KI14FSYM031_S10_L001_R2_001.fastq.gz,Montipora,aequituberculata,31,38,run5,2014,KI14_31,SAMN49903998
KI14FSYM310_S184_L001,KI14FSYM310_S184_L001_R1_001.fastq.gz,KI14FSYM310_S184_L001_R2_001.fastq.gz,Montipora,aequituberculata,310,14,run5,2014,KI14_310,SAMN49903893
KI14FSYM312_S191_L001,KI14FSYM312_S191_L001_R1_001.fastq.gz,KI14FSYM312_S191_L001_R2_001.fastq.gz,Pocillopora,grandis,312,34,run5,2014,KI14_312,SAMN49903964
KI14FSYM313_S198_L001,KI14FSYM313_S198_L001_R1_001.fastq.gz,KI14FSYM313_S198_L001_R2_001.fastq.gz,Montipora,aequituberculata,313,34,run5,2014,KI14_313,SAMN49903965
KI14FSYM316_S220_L001,KI14FSYM316_S220_L001_R1_001.fastq.gz,KI14FSYM316_S220_L001_R2_001.fastq.gz,Pocillopora,grandis,316,34,run5,2014,KI14_316,SAMN49903966
c-010_S10_L001,c-010_S10_L001_R1_001.fastq.gz,c-010_S10_L001_R2_001.fastq.gz,Montipora,aequituberculata,317,34,run3,2014,KI14_317,SAMN49903805
KI14FSYM319_S236_L001,KI14FSYM319_S236_L001_R1_001.fastq.gz,KI14FSYM319_S236_L001_R2_001.fastq.gz,Montipora,aequituberculata,319,34,run5,2014,KI14_319,SAMN49903967
KI14FSYM322_S256_L001,KI14FSYM322_S256_L001_R1_001.fastq.gz,KI14FSYM322_S256_L001_R2_001.fastq.gz,Pocillopora,grandis,322,34,run5,2014,KI14_322,SAMN49903968
c-011_S11_L001,c-011_S11_L001_R1_001.fastq.gz,c-011_S11_L001_R2_001.fastq.gz,Montipora,aequituberculata,324,34,run3,2014,KI14_324,SAMN49903804
KI14FSYM326_S192_L001,KI14FSYM326_S192_L001_R1_001.fastq.gz,KI14FSYM326_S192_L001_R2_001.fastq.gz,Pocillopora,grandis,326,34,run5,2014,KI14_326,SAMN49903969
KI14FSYM329_S205_L001,KI14FSYM329_S205_L001_R1_001.fastq.gz,KI14FSYM329_S205_L001_R2_001.fastq.gz,Montipora,aequituberculata,329,34,run5,2014,KI14_329,SAMN49903970
KI14FSYM033_S24_L001,KI14FSYM033_S24_L001_R1_001.fastq.gz,KI14FSYM033_S24_L001_R2_001.fastq.gz,Montipora,aequituberculata,33,38,run5,2014,KI14_33,SAMN49903999
KI14FSYM331_S221_L001,KI14FSYM331_S221_L001_R1_001.fastq.gz,KI14FSYM331_S221_L001_R2_001.fastq.gz,Pocillopora,grandis,331,34,run5,2014,KI14_331,SAMN49903971
KI14FSYM336_S244_L001,KI14FSYM336_S244_L001_R1_001.fastq.gz,KI14FSYM336_S244_L001_R2_001.fastq.gz,Pocillopora,grandis,336,34,run5,2014,KI14_336,SAMN49903972
KI14FSYM337_S250_L001,KI14FSYM337_S250_L001_R1_001.fastq.gz,KI14FSYM337_S250_L001_R2_001.fastq.gz,Montipora,aequituberculata,337,34,run5,2014,KI14_337,SAMN49903973
KI14FSYM342_S178_L001,KI14FSYM342_S178_L001_R1_001.fastq.gz,KI14FSYM342_S178_L001_R2_001.fastq.gz,Montipora,aequituberculata,342,34,run5,2014,KI14_342,SAMN49903974
KI14FSYM345_S206_L001,KI14FSYM345_S206_L001_R1_001.fastq.gz,KI14FSYM345_S206_L001_R2_001.fastq.gz,Montipora,aequituberculata,345,34,run5,2014,KI14_345,SAMN49903975
KI14FSYM347_S222_L001,KI14FSYM347_S222_L001_R1_001.fastq.gz,KI14FSYM347_S222_L001_R2_001.fastq.gz,Pocillopora,grandis,347,34,run5,2014,KI14_347,SAMN49903976
KI14FSYM035_S32_L001,KI14FSYM035_S32_L001_R1_001.fastq.gz,KI14FSYM035_S32_L001_R2_001.fastq.gz,Montipora,aequituberculata,35,38,run5,2014,KI14_35,SAMN49904000
KI14FSYM350_S245_L001,KI14FSYM350_S245_L001_R1_001.fastq.gz,KI14FSYM350_S245_L001_R2_001.fastq.gz,Montipora,aequituberculata,350,34,run5,2014,KI14_350,SAMN49903977
KI14FSYM355_S251_L001,KI14FSYM355_S251_L001_R1_001.fastq.gz,KI14FSYM355_S251_L001_R2_001.fastq.gz,Pocillopora,grandis,355,34,run5,2014,KI14_355,SAMN49903978
KI14FSYM356_S258_L001,KI14FSYM356_S258_L001_R1_001.fastq.gz,KI14FSYM356_S258_L001_R2_001.fastq.gz,Montipora,aequituberculata,356,34,run5,2014,KI14_356,SAMN49903979
KI14FSYM357_S179_L001,KI14FSYM357_S179_L001_R1_001.fastq.gz,KI14FSYM357_S179_L001_R2_001.fastq.gz,Montipora,aequituberculata,357,34,run5,2014,KI14_357,SAMN49903980
KI14FSYM359_S194_L001,KI14FSYM359_S194_L001_R1_001.fastq.gz,KI14FSYM359_S194_L001_R2_001.fastq.gz,Pocillopora,grandis,359,34,run5,2014,KI14_359,SAMN49903981
KI14FSYM362_S186_L001,KI14FSYM362_S186_L001_R1_001.fastq.gz,KI14FSYM362_S186_L001_R2_001.fastq.gz,Pocillopora,grandis,362,34,run5,2014,KI14_362,SAMN49903983
KI14FSYM365_S215_L001,KI14FSYM365_S215_L001_R1_001.fastq.gz,KI14FSYM365_S215_L001_R2_001.fastq.gz,Pocillopora,grandis,365,34,run5,2014,KI14_365,SAMN49903982
KI14FSYM368_S238_L001,KI14FSYM368_S238_L001_R1_001.fastq.gz,KI14FSYM368_S238_L001_R2_001.fastq.gz,Montipora,aequituberculata,368,25,run5,2014,KI14_368,SAMN49903905
KI14FSYM037_S38_L001,KI14FSYM037_S38_L001_R1_001.fastq.gz,KI14FSYM037_S38_L001_R2_001.fastq.gz,Montipora,aequituberculata,37,27,run5,2014,KI14_37,SAMN49903927
KI14FSYM372_S259_L001,KI14FSYM372_S259_L001_R1_001.fastq.gz,KI14FSYM372_S259_L001_R2_001.fastq.gz,Pocillopora,grandis,372,25,run5,2014,KI14_372,SAMN49903906
KI14FSYM375_S188_L001,KI14FSYM375_S188_L001_R1_001.fastq.gz,KI14FSYM375_S188_L001_R2_001.fastq.gz,Montipora,aequituberculata,375,25,run5,2014,KI14_375,SAMN49903907
KI14FSYM038_S46_L001,KI14FSYM038_S46_L001_R1_001.fastq.gz,KI14FSYM038_S46_L001_R2_001.fastq.gz,Montipora,aequituberculata,38,27,run5,2014,KI14_38,SAMN49903928
KI14FSYM380_S208_L001,KI14FSYM380_S208_L001_R1_001.fastq.gz,KI14FSYM380_S208_L001_R2_001.fastq.gz,Montipora,aequituberculata,380,25,run5,2014,KI14_380,SAMN49903908
KI14FSYM384_S232_L001,KI14FSYM384_S232_L001_R1_001.fastq.gz,KI14FSYM384_S232_L001_R2_001.fastq.gz,Pocillopora,grandis,384,30,run5,2014,KI14_384,SAMN49903946
166_S166_L001,166_S166_L001_R1_001.fastq.gz,166_S166_L001_R2_001.fastq.gz,Montipora,aequituberculata,385,30,run2,2014,KI14_385,SAMN49903668
KI14FSYM039_S54_L001,KI14FSYM039_S54_L001_R1_001.fastq.gz,KI14FSYM039_S54_L001_R2_001.fastq.gz,Pocillopora,grandis,39,27,run5,2014,KI14_39,SAMN49903929
KI14FSYM390_S239_L001,KI14FSYM390_S239_L001_R1_001.fastq.gz,KI14FSYM390_S239_L001_R2_001.fastq.gz,Montipora,aequituberculata,390,25,run5,2014,KI14_390,SAMN49903909
KI14FSYM391_S246_L001,KI14FSYM391_S246_L001_R1_001.fastq.gz,KI14FSYM391_S246_L001_R2_001.fastq.gz,Pocillopora,grandis,391,25,run5,2014,KI14_391,SAMN49903910
KI14FSYM393_S260_L001,KI14FSYM393_S260_L001_R1_001.fastq.gz,KI14FSYM393_S260_L001_R2_001.fastq.gz,Pocillopora,grandis,393,25,run5,2014,KI14_393,SAMN49903911
KI14FSYM394_S181_L001,KI14FSYM394_S181_L001_R1_001.fastq.gz,KI14FSYM394_S181_L001_R2_001.fastq.gz,Montipora,aequituberculata,394,25,run5,2014,KI14_394,SAMN49903912
KI14FSYM397_S202_L001,KI14FSYM397_S202_L001_R1_001.fastq.gz,KI14FSYM397_S202_L001_R2_001.fastq.gz,Pocillopora,grandis,397,25,run5,2014,KI14_397,SAMN49903913
KI14FSYM399_S217_L001,KI14FSYM399_S217_L001_R1_001.fastq.gz,KI14FSYM399_S217_L001_R2_001.fastq.gz,Montipora,aequituberculata,399,25,run5,2014,KI14_399,SAMN49903914
KI14FSYM403_S233_L001,KI14FSYM403_S233_L001_R1_001.fastq.gz,KI14FSYM403_S233_L001_R2_001.fastq.gz,Montipora,aequituberculata,403,25,run5,2014,KI14_403,SAMN49903915
KI14FSYM405_S240_L001,KI14FSYM405_S240_L001_R1_001.fastq.gz,KI14FSYM405_S240_L001_R2_001.fastq.gz,Pocillopora,grandis,405,25,run5,2014,KI14_405,SAMN49903916
KI14FSYM409_S261_L001,KI14FSYM409_S261_L001_R1_001.fastq.gz,KI14FSYM409_S261_L001_R2_001.fastq.gz,Montipora,aequituberculata,409,25,run5,2014,KI14_409,SAMN49903917
128_S128_L001,128_S128_L001_R1_001.fastq.gz,128_S128_L001_R2_001.fastq.gz,Montipora,aequituberculata,41,27,run2,2014,KI14_41,SAMN49903651
KI14FSYM413_S189_L001,KI14FSYM413_S189_L001_R1_001.fastq.gz,KI14FSYM413_S189_L001_R2_001.fastq.gz,Pocillopora,grandis,413,25,run5,2014,KI14_413,SAMN49903918
KI14FSYM414_S196_L001,KI14FSYM414_S196_L001_R1_001.fastq.gz,KI14FSYM414_S196_L001_R2_001.fastq.gz,Montipora,aequituberculata,414,25,run5,2014,KI14_414,SAMN49903919
KI14FSYM417_S210_L001,KI14FSYM417_S210_L001_R1_001.fastq.gz,KI14FSYM417_S210_L001_R2_001.fastq.gz,Pocillopora,grandis,417,25,run5,2014,KI14_417,SAMN49903920
KI14FSYM418_S218_L001,KI14FSYM418_S218_L001_R1_001.fastq.gz,KI14FSYM418_S218_L001_R2_001.fastq.gz,Montipora,aequituberculata,418,25,run5,2014,KI14_418,SAMN49903921
KI14FSYM419_S226_L001,KI14FSYM419_S226_L001_R1_001.fastq.gz,KI14FSYM419_S226_L001_R2_001.fastq.gz,Pocillopora,grandis,419,25,run5,2014,KI14_419,SAMN49903922
KI14FSYM422_S248_L001,KI14FSYM422_S248_L001_R1_001.fastq.gz,KI14FSYM422_S248_L001_R2_001.fastq.gz,Pocillopora,grandis,422,25,run5,2014,KI14_422,SAMN49903923
KI14FSYM423_S254_L001,KI14FSYM423_S254_L001_R1_001.fastq.gz,KI14FSYM423_S254_L001_R2_001.fastq.gz,Montipora,aequituberculata,423,25,run5,2014,KI14_423,SAMN49903924
KI14FSYM424_S262_L001,KI14FSYM424_S262_L001_R1_001.fastq.gz,KI14FSYM424_S262_L001_R2_001.fastq.gz,Montipora,aequituberculata,424,25,run5,2014,KI14_424,SAMN49903925
KI14FSYM426_S190_L001,KI14FSYM426_S190_L001_R1_001.fastq.gz,KI14FSYM426_S190_L001_R2_001.fastq.gz,Pocillopora,grandis,426,25,run5,2014,KI14_426,SAMN49903926
KI14FSYM427_S197_L001,KI14FSYM427_S197_L001_R1_001.fastq.gz,KI14FSYM427_S197_L001_R2_001.fastq.gz,Pocillopora,grandis,427,30,run5,2014,KI14_427,SAMN49903947
KI14FSYM428_S203_L001,KI14FSYM428_S203_L001_R1_001.fastq.gz,KI14FSYM428_S203_L001_R2_001.fastq.gz,Montipora,aequituberculata,428,30,run5,2014,KI14_428,SAMN49903948
129_S129_L001,129_S129_L001_R1_001.fastq.gz,129_S129_L001_R2_001.fastq.gz,Pocillopora,grandis,43,27,run2,2014,KI14_43,SAMN49903652
KI14FSYM432_S227_L001,KI14FSYM432_S227_L001_R1_001.fastq.gz,KI14FSYM432_S227_L001_R2_001.fastq.gz,Pocillopora,grandis,432,30,run5,2014,KI14_432,SAMN49903949
KI14FSYM436_S249_L001,KI14FSYM436_S249_L001_R1_001.fastq.gz,KI14FSYM436_S249_L001_R2_001.fastq.gz,Pocillopora,grandis,436,30,run5,2014,KI14_436,SAMN49903950
KI14FSYM437_S255_L001,KI14FSYM437_S255_L001_R1_001.fastq.gz,KI14FSYM437_S255_L001_R2_001.fastq.gz,Montipora,aequituberculata,437,30,run5,2014,KI14_437,SAMN49903951
130_S130_L001,130_S130_L001_R1_001.fastq.gz,130_S130_L001_R2_001.fastq.gz,Montipora,aequituberculata,44,27,run2,2014,KI14_44,SAMN49903653
KI14FSYM443_S263_L001,KI14FSYM443_S263_L001_R1_001.fastq.gz,KI14FSYM443_S263_L001_R2_001.fastq.gz,Montipora,aequituberculata,443,30,run5,2014,KI14_443,SAMN49903952
KI14FSYM446_S287_L001,KI14FSYM446_S287_L001_R1_001.fastq.gz,KI14FSYM446_S287_L001_R2_001.fastq.gz,Montipora,aequituberculata,446,30,run5,2014,KI14_446,SAMN49903953
168_S168_L001,168_S168_L001_R1_001.fastq.gz,168_S168_L001_R2_001.fastq.gz,Montipora,aequituberculata,448,27,run2,2014,KI14_448,SAMN49903655
KI14FSYM045_S77_L001,KI14FSYM045_S77_L001_R1_001.fastq.gz,KI14FSYM045_S77_L001_R2_001.fastq.gz,Montipora,aequituberculata,45,27,run5,2014,KI14_45,SAMN49903930
KI14FSYM450_S295_L001,KI14FSYM450_S295_L001_R1_001.fastq.gz,KI14FSYM450_S295_L001_R2_001.fastq.gz,Pocillopora,grandis,450,27,run5,2014,KI14_450,SAMN49903936
KI14FSYM452_S303_L001,KI14FSYM452_S303_L001_R1_001.fastq.gz,KI14FSYM452_S303_L001_R2_001.fastq.gz,Pocillopora,grandis,452,27,run5,2014,KI14_452,SAMN49903937
171_S171_L001,171_S171_L001_R1_001.fastq.gz,171_S171_L001_R2_001.fastq.gz,Montipora,aequituberculata,456,27,run2,2014,KI14_456,SAMN49903656
KI14FSYM460_S333_L001,KI14FSYM460_S333_L001_R1_001.fastq.gz,KI14FSYM460_S333_L001_R2_001.fastq.gz,Pocillopora,grandis,460,27,run5,2014,KI14_460,SAMN49903938
KI14FSYM463_S339_L001,KI14FSYM463_S339_L001_R1_001.fastq.gz,KI14FSYM463_S339_L001_R2_001.fastq.gz,Pocillopora,grandis,463,27,run5,2014,KI14_463,SAMN49903939
173_S173_L001,173_S173_L001_R1_001.fastq.gz,173_S173_L001_R2_001.fastq.gz,Pocillopora,grandis,468,27,run2,2014,KI14_468,SAMN49903657
174_S174_L001,174_S174_L001_R1_001.fastq.gz,174_S174_L001_R2_001.fastq.gz,Pocillopora,grandis,469,27,run2,2014,KI14_469,SAMN49903658
KI14FSYM047_S85_L001,KI14FSYM047_S85_L001_R1_001.fastq.gz,KI14FSYM047_S85_L001_R2_001.fastq.gz,Montipora,aequituberculata,47,27,run5,2014,KI14_47,SAMN49903931
KI14FSYM475_S264_L001,KI14FSYM475_S264_L001_R1_001.fastq.gz,KI14FSYM475_S264_L001_R2_001.fastq.gz,Montipora,aequituberculata,475,27,run5,2014,KI14_475,SAMN49903940
KI14FSYM477_S272_L001,KI14FSYM477_S272_L001_R1_001.fastq.gz,KI14FSYM477_S272_L001_R2_001.fastq.gz,Pocillopora,grandis,477,27,run5,2014,KI14_477,SAMN49903941
KI14FSYM480_S288_L001,KI14FSYM480_S288_L001_R1_001.fastq.gz,KI14FSYM480_S288_L001_R2_001.fastq.gz,Montipora,aequituberculata,480,32,run5,2014,KI14_480,SAMN49903954
KI14FSYM481_S296_L001,KI14FSYM481_S296_L001_R1_001.fastq.gz,KI14FSYM481_S296_L001_R2_001.fastq.gz,Pocillopora,grandis,481,32,run5,2014,KI14_481,SAMN49903955
KI14FSYM484_S312_L001,KI14FSYM484_S312_L001_R1_001.fastq.gz,KI14FSYM484_S312_L001_R2_001.fastq.gz,Montipora,aequituberculata,484,32,run5,2014,KI14_484,SAMN49903956
KI14FSYM485_S319_L001,KI14FSYM485_S319_L001_R1_001.fastq.gz,KI14FSYM485_S319_L001_R2_001.fastq.gz,Pocillopora,grandis,485,32,run5,2014,KI14_485,SAMN49903957
KI14FSYM490_S340_L001,KI14FSYM490_S340_L001_R1_001.fastq.gz,KI14FSYM490_S340_L001_R2_001.fastq.gz,Montipora,aequituberculata,490,32,run5,2014,KI14_490,SAMN49903958
KI14FSYM491_S347_L001,KI14FSYM491_S347_L001_R1_001.fastq.gz,KI14FSYM491_S347_L001_R2_001.fastq.gz,Pocillopora,grandis,491,32,run5,2014,KI14_491,SAMN49903963
KI14FSYM494_S273_L001,KI14FSYM494_S273_L001_R1_001.fastq.gz,KI14FSYM494_S273_L001_R2_001.fastq.gz,Pocillopora,grandis,494,32,run5,2014,KI14_494,SAMN49903959
KI14FSYM496_S289_L001,KI14FSYM496_S289_L001_R1_001.fastq.gz,KI14FSYM496_S289_L001_R2_001.fastq.gz,Montipora,aequituberculata,496,32,run5,2014,KI14_496,SAMN49903960
KI14FSYM498_S297_L001,KI14FSYM498_S297_L001_R1_001.fastq.gz,KI14FSYM498_S297_L001_R2_001.fastq.gz,Pocillopora,grandis,498,32,run5,2014,KI14_498,SAMN49903961
131_S131_L001,131_S131_L001_R1_001.fastq.gz,131_S131_L001_R2_001.fastq.gz,Pocillopora,grandis,50,8,run2,2014,KI14_50,SAMN49903646
KI14FSYM501_S305_L001,KI14FSYM501_S305_L001_R1_001.fastq.gz,KI14FSYM501_S305_L001_R2_001.fastq.gz,Montipora,aequituberculata,501,32,run5,2014,KI14_501,SAMN49903962
KI14FSYM503_S320_L001,KI14FSYM503_S320_L001_R1_001.fastq.gz,KI14FSYM503_S320_L001_R2_001.fastq.gz,Pocillopora,grandis,503,14,run5,2014,KI14_503,SAMN49903894
KI14FSYM505_S328_L001,KI14FSYM505_S328_L001_R1_001.fastq.gz,KI14FSYM505_S328_L001_R2_001.fastq.gz,Pocillopora,grandis,505,14,run5,2014,KI14_505,SAMN49903895
KI14FSYM506_S335_L001,KI14FSYM506_S335_L001_R1_001.fastq.gz,KI14FSYM506_S335_L001_R2_001.fastq.gz,Montipora,aequituberculata,506,14,run5,2014,KI14_506,SAMN49903896
KI14FSYM508_S348_L001,KI14FSYM508_S348_L001_R1_001.fastq.gz,KI14FSYM508_S348_L001_R2_001.fastq.gz,Montipora,aequituberculata,508,14,run5,2014,KI14_508,SAMN49903897
KI14FSYM509_S266_L001,KI14FSYM509_S266_L001_R1_001.fastq.gz,KI14FSYM509_S266_L001_R2_001.fastq.gz,Pocillopora,grandis,509,14,run5,2014,KI14_509,SAMN49903898
KI14FSYM510_S274_L001,KI14FSYM510_S274_L001_R1_001.fastq.gz,KI14FSYM510_S274_L001_R2_001.fastq.gz,Montipora,aequituberculata,510,14,run5,2014,KI14_510,SAMN49903899
KI14FSYM512_S290_L001,KI14FSYM512_S290_L001_R1_001.fastq.gz,KI14FSYM512_S290_L001_R2_001.fastq.gz,Montipora,aequituberculata,512,14,run5,2014,KI14_512,SAMN49903900
KI14FSYM514_S306_L001,KI14FSYM514_S306_L001_R1_001.fastq.gz,KI14FSYM514_S306_L001_R2_001.fastq.gz,Montipora,aequituberculata,514,14,run5,2014,KI14_514,SAMN49903901
KI14FSYM516_S321_L001,KI14FSYM516_S321_L001_R1_001.fastq.gz,KI14FSYM516_S321_L001_R2_001.fastq.gz,Montipora,aequituberculata,516,14,run5,2014,KI14_516,SAMN49903902
KI14FSYM517_S329_L001,KI14FSYM517_S329_L001_R1_001.fastq.gz,KI14FSYM517_S329_L001_R2_001.fastq.gz,Montipora,aequituberculata,517,14,run5,2014,KI14_517,SAMN49903903
KI14FSYM518_S336_L001,KI14FSYM518_S336_L001_R1_001.fastq.gz,KI14FSYM518_S336_L001_R2_001.fastq.gz,Montipora,aequituberculata,518,14,run5,2014,KI14_518,SAMN49903904
KI14FSYM052_S11_L001,KI14FSYM052_S11_L001_R1_001.fastq.gz,KI14FSYM052_S11_L001_R2_001.fastq.gz,Pocillopora,grandis,52,8,run5,2014,KI14_52,SAMN49903861
KI14FSYM054_S25_L001,KI14FSYM054_S25_L001_R1_001.fastq.gz,KI14FSYM054_S25_L001_R2_001.fastq.gz,Montipora,aequituberculata,54,8,run5,2014,KI14_54,SAMN49903862
KI14FSYM058_S55_L001,KI14FSYM058_S55_L001_R1_001.fastq.gz,KI14FSYM058_S55_L001_R2_001.fastq.gz,Montipora,aequituberculata,58,8,run5,2014,KI14_58,SAMN49903863
132_S132_L001,132_S132_L001_R1_001.fastq.gz,132_S132_L001_R2_001.fastq.gz,Montipora,aequituberculata,60,8,run2,2014,KI14_60,SAMN49903647
KI14FSYM065_S78_L001,KI14FSYM065_S78_L001_R1_001.fastq.gz,KI14FSYM065_S78_L001_R2_001.fastq.gz,Pocillopora,grandis,65,8,run5,2014,KI14_65,SAMN49903864
KI14FSYM067_S4_L001,KI14FSYM067_S4_L001_R1_001.fastq.gz,KI14FSYM067_S4_L001_R2_001.fastq.gz,Pocillopora,grandis,67,8,run5,2014,KI14_67,SAMN49903865
KI14FSYM068_S12_L001,KI14FSYM068_S12_L001_R1_001.fastq.gz,KI14FSYM068_S12_L001_R2_001.fastq.gz,Montipora,aequituberculata,68,8,run5,2014,KI14_68,SAMN49903866
134_S134_L001,134_S134_L001_R1_001.fastq.gz,134_S134_L001_R2_001.fastq.gz,Montipora,aequituberculata,69,8,run2,2014,KI14_69,SAMN49903650
122_S122_L001,122_S122_L001_R1_001.fastq.gz,122_S122_L001_R2_001.fastq.gz,Montipora,aequituberculata,7,35,run2,2014,KI14_7,SAMN49903670
KI14FSYM071_S26_L001,KI14FSYM071_S26_L001_R1_001.fastq.gz,KI14FSYM071_S26_L001_R2_001.fastq.gz,Pocillopora,grandis,71,8,run5,2014,KI14_71,SAMN49903867
KI14FSYM073_S33_L001,KI14FSYM073_S33_L001_R1_001.fastq.gz,KI14FSYM073_S33_L001_R2_001.fastq.gz,Montipora,aequituberculata,73,8,run5,2014,KI14_73,SAMN49903868
KI14FSYM074_S40_L001,KI14FSYM074_S40_L001_R1_001.fastq.gz,KI14FSYM074_S40_L001_R2_001.fastq.gz,Pocillopora,grandis,74,8,run5,2014,KI14_74,SAMN49903869
135_S135_L001,135_S135_L001_R1_001.fastq.gz,135_S135_L001_R2_001.fastq.gz,Montipora,aequituberculata,76,8,run2,2014,KI14_76,SAMN49903648
KI14FSYM078_S63_L001,KI14FSYM078_S63_L001_R1_001.fastq.gz,KI14FSYM078_S63_L001_R2_001.fastq.gz,Pocillopora,grandis,78,8,run5,2014,KI14_78,SAMN49903870
KI14FSYM082_S5_L001,KI14FSYM082_S5_L001_R1_001.fastq.gz,KI14FSYM082_S5_L001_R2_001.fastq.gz,Pocillopora,grandis,82,8,run5,2014,KI14_82,SAMN49903871
KI14FSYM083_S13_L001,KI14FSYM083_S13_L001_R1_001.fastq.gz,KI14FSYM083_S13_L001_R2_001.fastq.gz,Montipora,aequituberculata,83,8,run5,2014,KI14_83,SAMN49903872
136_S136_L001,136_S136_L001_R1_001.fastq.gz,136_S136_L001_R2_001.fastq.gz,Pocillopora,grandis,84,8,run2,2014,KI14_84,SAMN49903649
KI14FSYM085_S21_L001,KI14FSYM085_S21_L001_R1_001.fastq.gz,KI14FSYM085_S21_L001_R2_001.fastq.gz,Montipora,aequituberculata,85,8,run5,2014,KI14_85,SAMN49903873
KI14FSYM086_S27_L001,KI14FSYM086_S27_L001_R1_001.fastq.gz,KI14FSYM086_S27_L001_R2_001.fastq.gz,Pocillopora,grandis,86,8,run5,2014,KI14_86,SAMN49903874
